timestamp,username,ip_address,event_type,status
2026-09-23 08:15:12,sneha,192.168.1.10,login,success
2026-09-23 08:20:04,admin,192.168.1.25,login,failed
2026-09-23 08:20:18,admin,192.168.1.25,login,failed
2026-09-23 08:20:32,admin,192.168.1.25,login,failed
2026-09-23 08:20:45,admin,192.168.1.25,login,failed
2026-09-23 08:21:02,admin,192.168.1.25,login,failed
2026-09-23 09:03:15,user1,192.168.1.14,login,success
2026-09-23 09:15:44,user2,192.168.1.18,login,failed
2026-09-23 10:30:21,sneha,192.168.1.10,file_access,success
2026-09-23 11:42:08,user1,192.168.1.14,logout,success
2026-09-23 02:14:22,user2,192.168.1.18,login,success
